Model:	LI-7810
SN:	TG10-01640
Software Version:	2.3.8
Timestamp:	2023-09-26 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1695708114	108498096	2729	256	""	2023-09-26	08:01:54	nan	nan	nan	102.182	33.1968	102.181	39.7113	0	0	33.9381	-16000	0	15.8979	221
DATA	1695708115	108190059	2733	256	""	2023-09-26	08:01:55	nan	nan	nan	102.182	33.2137	102.181	39.7113	0	0	33.9556	-16000	0	15.8979	199
DATA	1695708116	108190059	2737	256	""	2023-09-26	08:01:56	nan	nan	nan	102.181	33.2305	102.182	39.7113	0	0	33.9723	-16000	0	15.8983	193
DATA	1695708117	108190059	2741	256	""	2023-09-26	08:01:57	nan	nan	nan	102.182	33.2477	102.182	39.7113	0	0	33.9891	-16000	0	15.8979	212
DATA	1695708118	108190059	2745	256	""	2023-09-26	08:01:58	nan	nan	nan	102.181	33.2632	102.182	39.7113	0	0	34.0044	-16000	0	15.8971	184
DATA	1695708119	108190059	2749	256	""	2023-09-26	08:01:59	nan	nan	nan	102.182	33.2804	102.181	39.7113	0	0	34.0213	-16000	0	15.8963	190
DATA	1695708120	108190059	2753	256	""	2023-09-26	08:02:00	nan	nan	nan	102.181	33.298	102.181	39.7113	0	0	34.0379	-16000	0	15.8963	133
DATA	1695708121	108190059	2757	256	""	2023-09-26	08:02:01	nan	nan	nan	102.18	33.3148	102.181	39.7113	0	0	34.0546	-16000	0	15.8963	131
DATA	1695708122	107878923	2761	256	""	2023-09-26	08:02:02	nan	nan	nan	102.181	33.3318	102.181	39.7113	0	0	34.0714	-16000	0	15.8963	185
DATA	1695708123	107878923	2765	256	""	2023-09-26	08:02:03	nan	nan	nan	102.181	33.3488	102.181	39.7113	0	0	34.0882	-16000	0	15.8963	205
DATA	1695708124	107878923	2769	256	""	2023-09-26	08:02:04	nan	nan	nan	102.181	33.3658	102.182	39.7113	0	0	34.1049	-16000	0	15.8963	207
DATA	1695708125	107878923	2773	256	""	2023-09-26	08:02:05	nan	nan	nan	102.181	33.3826	102.182	39.7113	0	0	34.1223	-16000	0	15.8963	195
DATA	1695708126	107878923	2777	256	""	2023-09-26	08:02:06	nan	nan	nan	102.181	33.3982	102.182	39.7113	0	0	34.1377	-16000	0	15.8959	219
DATA	1695708127	107878923	2781	256	""	2023-09-26	08:02:07	nan	nan	nan	102.18	33.4152	102.182	39.7113	0	0	34.1543	-16000	0	15.8959	152
DATA	1695708128	107878923	2785	256	""	2023-09-26	08:02:08	nan	nan	nan	102.182	33.4321	102.181	39.7113	0	0	34.1712	-16000	0	15.8959	203
DATA	1695708129	107878923	2789	256	""	2023-09-26	08:02:09	nan	nan	nan	102.181	33.4493	102.182	39.7113	0	0	34.1878	-16000	0	15.8959	232
DATA	1695708130	107562065	2793	256	""	2023-09-26	08:02:10	nan	nan	nan	102.18	33.4668	102.182	39.7113	0	0	34.2043	-16000	0	15.8956	135
DATA	1695708131	107562065	2797	256	""	2023-09-26	08:02:11	nan	nan	nan	102.181	33.4836	102.183	39.7113	0	0	34.221	-16000	0	15.8952	132
DATA	1695708132	107562065	2801	256	""	2023-09-26	08:02:12	nan	nan	nan	102.18	33.5004	102.183	39.7113	0	0	34.2378	-16000	0	15.8956	126
DATA	1695708133	107562065	2805	256	""	2023-09-26	08:02:13	nan	nan	nan	102.18	33.5174	102.183	39.7113	0	0	34.2544	-16000	0	15.8956	135
DATA	1695708134	107562065	2809	256	""	2023-09-26	08:02:14	nan	nan	nan	102.182	33.5338	102.183	39.7113	0	0	34.2706	-16000	0	15.8952	189
DATA	1695708135	107562065	2813	256	""	2023-09-26	08:02:15	nan	nan	nan	102.18	33.5499	102.183	39.7113	0	0	34.2869	-16000	0	15.8948	159
DATA	1695708136	107562065	2817	256	""	2023-09-26	08:02:16	nan	nan	nan	102.18	33.5668	102.183	39.7113	0	0	34.3038	-16000	0	15.8948	152
DATA	1695708137	107240915	2821	256	""	2023-09-26	08:02:17	nan	nan	nan	102.18	33.5834	102.184	39.7113	0	0	34.3202	-16000	0	15.8948	135
DATA	1695708138	107240915	2825	256	""	2023-09-26	08:02:18	nan	nan	nan	102.18	33.6006	102.182	39.7113	0	0	34.3372	-16000	0	15.8948	139
DATA	1695708139	107240915	2829	256	""	2023-09-26	08:02:19	nan	nan	nan	102.18	33.6177	102.182	39.7113	0	0	34.3537	-16000	0	15.8936	154
DATA	1695708140	107240915	2833	256	""	2023-09-26	08:02:20	nan	nan	nan	102.18	33.635	102.183	39.7113	0	0	34.3704	-16000	0	15.8932	 71
DATA	1695708141	107240915	2837	256	""	2023-09-26	08:02:21	nan	nan	nan	102.18	33.6519	102.183	39.7113	0	0	34.3869	-16000	0	15.8932	144
DATA	1695708142	107240915	2841	256	""	2023-09-26	08:02:22	nan	nan	nan	102.181	33.6688	102.183	39.7113	0	0	34.4037	-16000	0	15.8932	185
DATA	1695708143	107240915	2845	256	""	2023-09-26	08:02:23	nan	nan	nan	102.18	33.6842	102.183	39.7113	0	0	34.4189	-16000	0	15.8932	142
DATA	1695708144	107240915	2849	256	""	2023-09-26	08:02:24	nan	nan	nan	102.181	33.7012	102.184	39.7113	0	0	34.4355	-16000	0	15.8932	183
DATA	1695708145	106934070	2853	256	""	2023-09-26	08:02:25	nan	nan	nan	102.18	33.7182	102.184	39.7113	0	0	34.4528	-16000	0	15.8932	142
DATA	1695708146	106934070	2857	256	""	2023-09-26	08:02:26	nan	nan	nan	102.181	33.735	102.184	39.7113	0	0	34.4696	-16000	0	15.8932	152
DATA	1695708147	106934070	2861	256	""	2023-09-26	08:02:27	nan	nan	nan	102.181	33.7518	102.184	39.7113	0	0	34.4861	-16000	0	15.8936	201
DATA	1695708148	106934070	2865	256	""	2023-09-26	08:02:28	nan	nan	nan	102.18	33.7686	102.184	39.7113	0	0	34.5029	-16000	0	15.8932	157
DATA	1695708149	106934070	2869	256	""	2023-09-26	08:02:29	nan	nan	nan	102.179	33.7861	102.184	39.7113	0	0	34.5196	-16000	0	15.8932	219
DATA	1695708150	106934070	2873	256	""	2023-09-26	08:02:30	nan	nan	nan	102.18	33.8033	102.184	39.7113	0	0	34.5359	-16000	0	15.8932	135
DATA	1695708151	106934070	2877	256	""	2023-09-26	08:02:31	nan	nan	nan	102.18	33.8196	102.185	39.7113	0	0	34.5518	-16000	0	15.8924	150
DATA	1695708152	106621026	2881	256	""	2023-09-26	08:02:32	nan	nan	nan	102.18	33.8358	102.185	39.7113	0	0	34.5679	-16000	0	15.8924	149
DATA	1695708153	106621026	2885	256	""	2023-09-26	08:02:33	nan	nan	nan	102.18	33.8523	102.186	39.7113	0	0	34.5844	-16000	0	15.8916	145
DATA	1695708154	106621026	2889	256	""	2023-09-26	08:02:34	nan	nan	nan	102.181	33.8691	102.184	39.7113	0	0	34.6012	-16000	0	15.8916	192
DATA	1695708155	106621026	2893	256	""	2023-09-26	08:02:35	nan	nan	nan	102.18	33.8862	102.185	39.7113	0	0	34.6181	-16000	0	15.8916	148
