SN:3K430000002098 BD:Feb 22 2019 VC:6c0e877 MD5:23c7c984f9ae360a656e7db26e850528
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,            Gnd,         Gnd_sd,         LTC0_v,      LTC0_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
26/04/2022 10:00:02.490, 26/04/2022 08:00:02.419, 2.01144e+0, 0.00000e+0, 4.24288e+2, 0.00000e+0, 7.89913e+3, 0.00000e+0, 2.02746e+0, 0.00000e+0, 4.27666e+2, 0.00000e+0, 5.00413e+2, 0.00000e+0, 1.64122e+1, 0.00000e+0, -4.40472e-1, 0.00000e+0, 2.87366e+0, 0.00000e+0, 8.45378e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00406e+0, 0.00000e+0, 9.00040e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:03.485, 26/04/2022 08:00:03.414, 2.01360e+0, 0.00000e+0, 4.23252e+2, 0.00000e+0, 7.86694e+3, 0.00000e+0, 2.02956e+0, 0.00000e+0, 4.26609e+2, 0.00000e+0, 4.99872e+2, 0.00000e+0, 1.63835e+1, 0.00000e+0, -4.44341e-1, 0.00000e+0, 2.87295e+0, 0.00000e+0, 8.45344e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00091e+0, 0.00000e+0, 8.98017e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:04.481, 26/04/2022 08:00:04.408, 2.01394e+0, 0.00000e+0, 4.26729e+2, 0.00000e+0, 8.01899e+3, 0.00000e+0, 2.03022e+0, 0.00000e+0, 4.30179e+2, 0.00000e+0, 4.99952e+2, 0.00000e+0, 1.63842e+1, 0.00000e+0, -4.45575e-1, 0.00000e+0, 2.87388e+0, 0.00000e+0, 8.44985e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99891e+0, 0.00000e+0, 8.96735e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:05.473, 26/04/2022 08:00:05.402, 2.01287e+0, 0.00000e+0, 4.26214e+2, 0.00000e+0, 8.01216e+3, 0.00000e+0, 2.02913e+0, 0.00000e+0, 4.29657e+2, 0.00000e+0, 5.00562e+2, 0.00000e+0, 1.63874e+1, 0.00000e+0, -4.42404e-1, 0.00000e+0, 2.87316e+0, 0.00000e+0, 8.44323e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99979e+0, 0.00000e+0, 8.97302e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:06.475, 26/04/2022 08:00:06.397, 2.01069e+0, 0.00000e+0, 4.23219e+2, 0.00000e+0, 7.93179e+3, 0.00000e+0, 2.02676e+0, 0.00000e+0, 4.26602e+2, 0.00000e+0, 5.01382e+2, 0.00000e+0, 1.63755e+1, 0.00000e+0, -4.43443e-1, 0.00000e+0, 2.87353e+0, 0.00000e+0, 8.44908e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00080e+0, 0.00000e+0, 8.97950e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:07.466, 26/04/2022 08:00:07.391, 2.00876e+0, 0.00000e+0, 4.25736e+2, 0.00000e+0, 8.05359e+3, 0.00000e+0, 2.02507e+0, 0.00000e+0, 4.29192e+2, 0.00000e+0, 5.02461e+2, 0.00000e+0, 1.63858e+1, 0.00000e+0, -4.47056e-1, 0.00000e+0, 2.87423e+0, 0.00000e+0, 8.44971e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00086e+0, 0.00000e+0, 8.97989e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:08.462, 26/04/2022 08:00:08.386, 2.01030e+0, 0.00000e+0, 4.28642e+2, 0.00000e+0, 8.13185e+3, 0.00000e+0, 2.02678e+0, 0.00000e+0, 4.32157e+2, 0.00000e+0, 5.01458e+2, 0.00000e+0, 1.63909e+1, 0.00000e+0, -4.42561e-1, 0.00000e+0, 2.87353e+0, 0.00000e+0, 8.44824e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00103e+0, 0.00000e+0, 8.98099e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:09.464, 26/04/2022 08:00:09.387, 2.01294e+0, 0.00000e+0, 4.23460e+2, 0.00000e+0, 8.07377e+3, 0.00000e+0, 2.02933e+0, 0.00000e+0, 4.26906e+2, 0.00000e+0, 5.01135e+2, 0.00000e+0, 1.63883e+1, 0.00000e+0, -4.49729e-1, 0.00000e+0, 2.87293e+0, 0.00000e+0, 8.44322e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99993e+0, 0.00000e+0, 8.97391e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:10.447, 26/04/2022 08:00:10.382, 2.01382e+0, 0.00000e+0, 4.24639e+2, 0.00000e+0, 7.96128e+3, 0.00000e+0, 2.02998e+0, 0.00000e+0, 4.28047e+2, 0.00000e+0, 5.00200e+2, 0.00000e+0, 1.64008e+1, 0.00000e+0, -4.45067e-1, 0.00000e+0, 2.87339e+0, 0.00000e+0, 8.44300e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99978e+0, 0.00000e+0, 8.97297e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 10:00:11.450, 26/04/2022 08:00:11.376, 2.01374e+0, 0.00000e+0, 4.27540e+2, 0.00000e+0, 8.06509e+3, 0.00000e+0, 2.03012e+0, 0.00000e+0, 4.31016e+2, 0.00000e+0, 4.99970e+2, 0.00000e+0, 1.64024e+1, 0.00000e+0, -4.39447e-1, 0.00000e+0, 2.87309e+0, 0.00000e+0, 8.44983e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 4.99573e+0, 0.00000e+0, 8.94699e+1, 0.00000e+0, 3, -1, Disabled
